1,1
2,3
3,3
4,6
5,15
6,31
7,75
8,163
9,376
10,911
11,2217
12,5025
13,9987
14,16081
15,19614
16,18804
17,14270
18,7783
19,2945
20,875
21,229
22,70
23,25
24,6
25,2
26,0
